Room Name
T1-1B-A1
T1-1B-A2
T1-1B-A3
T1-1B-A4
T1-1B-B1
T1-1B-B2
T1-1B-C1
T1-1B-C2
T1-1B-D
T1-1B-E
T1-2
T1-2BM
T1-2BM-A1
T1-2BM-A2
T1-2BM-B
T1-2BM-C
T1-2BM-D1
T1-2BM-D2
T1-2BM-E1
T1-2BM-E2
T1-2BM-G3
T1-3B-A
T1-3B-B
T1-3B-B1
T1-3B-B2
T1-3B-C2
T1-3B-D
T1-3B-E
T1-ST-A
T1-ST-B
T2-2B-A1-W
T2-2B-A2
T2-2B-A2-W
T2-2B-A3
T2-2B-A3-W
T2-2BM-A1
T2-2BM-A1-W
T2-2BM-A2-W
T2-2BM-A3-W
T2-2BM-B1
T2-2BM-B1-W
T2-3B-A1
T2-3B-A1-W
T2-3B-A2
T2-3B-A2-W
T2-3B-B1
T2-3B-B1-W
T2-3B-B2
T2-3B-B3
T2-3B-B3-W
T2-3B-C1-W
T2-3B-D1
T2-3B-D1-W
T2-3B-E1
T2-3B-E1-W
T2-3B-F1
T2-3B-G1
T2-4B-A1
T2-4B-A2
T2-4B-B
T2-4B-B1
